SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX.11DZ1.0011.R3a.SM.DNZYY	GTEX-11DZ1-0011-R3a-SM-DNZYY	50-59	2	0.0270089177423126	0.0303813437504917
GTEX.11GSO.0011.R3b.SM.57WB2	GTEX-11GSO-0011-R3b-SM-57WB2	60-69	2	0.016710469536203	0.0122751312912536
GTEX.11GSP.0011.R3a.SM.9QEGF	GTEX-11GSP-0011-R3a-SM-9QEGF	60-69	1	-0.022767158935054	-0.0185877440242682
GTEX.11UD1.0011.R3a.SM.5BC6S	GTEX-11UD1-0011-R3a-SM-5BC6S	40-49	1	-0.0156264070876372	-0.00590876871851047
GTEX.11WQC.0011.R3a.SM.DO11T	GTEX-11WQC-0011-R3a-SM-DO11T	60-69	2	-0.0232380070286644	-0.0187017166312852
GTEX.11WQK.0011.R3b.SM.DO93K	GTEX-11WQK-0011-R3b-SM-DO93K	50-59	2	-0.0471390002401066	-0.0445039462125364
GTEX.11ZTS.0011.R3a.SM.5BC78	GTEX-11ZTS-0011-R3a-SM-5BC78	60-69	1	0.00550805143376997	0.0108995916572489
GTEX.11ZVC.0011.R3a.SM.5BC6V	GTEX-11ZVC-0011-R3a-SM-5BC6V	50-59	1	-0.0310238902249483	-0.0115747362450929
GTEX.12WSD.0011.R3b.SM.5LZWN	GTEX-12WSD-0011-R3b-SM-5LZWN	60-69	1	-0.0233129151086335	-0.0171531805885722
GTEX.12WSF.0011.R3a.SM.5DUW7	GTEX-12WSF-0011-R3a-SM-5DUW7	70-79	2	-0.00403712621560568	-0.00177015018457612
GTEX.12WSM.0011.R3b.SM.5LZWI	GTEX-12WSM-0011-R3b-SM-5LZWI	60-69	2	0.0488171113790289	0.0484248082430381
GTEX.12ZZW.0011.R3a.SM.5DUWW	GTEX-12ZZW-0011-R3a-SM-5DUWW	50-59	2	-0.0460108117037772	-0.0316885492298995
GTEX.12ZZX.0011.R3b.SM.5EGLH	GTEX-12ZZX-0011-R3b-SM-5EGLH	40-49	1	-0.0345833881274058	-0.0335815660023966
