SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX.11DZ1.0011.R2a.SM.DNZZM	GTEX-11DZ1-0011-R2a-SM-DNZZM	50-59	2	-0.0139883730405593	-0.021299143100087
GTEX.11EMC.0011.R2b.SM.DO114	GTEX-11EMC-0011-R2b-SM-DO114	60-69	1	-0.048492015197376	-0.0358529257563448
GTEX.11GS4.0011.R2a.SM.DO942	GTEX-11GS4-0011-R2a-SM-DO942	60-69	2	0.105312537089532	0.10781434416292
GTEX.11GSO.0011.R2a.SM.57WDF	GTEX-11GSO-0011-R2a-SM-57WDF	60-69	2	-0.0326346639388377	-0.0311366194529473
GTEX.11GSP.0011.R2b.SM.9QEGE	GTEX-11GSP-0011-R2b-SM-9QEGE	60-69	1	0.0578197720819026	0.0814800443804082
GTEX.11PRG.0011.R2a.SM.69LQ5	GTEX-11PRG-0011-R2a-SM-69LQ5	50-59	2	0.00263171948989407	-0.0337871801029054
GTEX.11TUW.0011.R2b.SM.DO92T	GTEX-11TUW-0011-R2b-SM-DO92T	60-69	2	-0.0381715745459398	-0.0104013640515607
GTEX.11UD1.0011.R2b.SM.5BC6O	GTEX-11UD1-0011-R2b-SM-5BC6O	40-49	1	0.0258594442650552	0.00581705813758827
GTEX.11WQC.0011.R2a.SM.DO927	GTEX-11WQC-0011-R2a-SM-DO927	60-69	2	0.0233635931761183	0.00555762953447511
GTEX.11ZTS.0011.R2b.SM.5BC75	GTEX-11ZTS-0011-R2b-SM-5BC75	60-69	1	0.00369560798540827	-0.00875282546649662
GTEX.12WSA.0011.R2a.SM.57WDK	GTEX-12WSA-0011-R2a-SM-57WDK	60-69	2	-0.0619213208140188	-0.0688489399844448
GTEX.12WSD.0011.R2a.SM.5LZWB	GTEX-12WSD-0011-R2a-SM-5LZWB	60-69	1	-0.0116413679611462	-0.0390118328660999
GTEX.12WSF.0011.R2a.SM.5DUVU	GTEX-12WSF-0011-R2a-SM-5DUVU	70-79	2	-0.0287110022478497	-0.0324175398311781
GTEX.12WSH.0011.R2a.SM.5GU68	GTEX-12WSH-0011-R2a-SM-5GU68	50-59	2	-0.0487837651294311	-0.00227555692355959
GTEX.12ZZX.0011.R2a.SM.5EGLG	GTEX-12ZZX-0011-R2a-SM-5EGLG	40-49	1	0.0590727952654466	0.0870897519047717
GTEX.1313W.0011.R2a.SM.5EGLF	GTEX-1313W-0011-R2a-SM-5EGLF	50-59	1	0.00907160475341105	0.0269799975792159
GTEX.131XH.0011.R2b.SM.5DUVY	GTEX-131XH-0011-R2b-SM-5DUVY	50-59	2	0.0110789629859274	0.0165172756769261
GTEX.132Q8.0011.R2b.SM.5EQ5Z	GTEX-132Q8-0011-R2b-SM-5EQ5Z	60-69	2	0.650235865223938	0.664605101118283
GTEX.1399T.0011.R2b.SM.5DUXM	GTEX-1399T-0011-R2b-SM-5DUXM	60-69	2	0.0192927569222215	0.00796348243998738
GTEX.139TS.0011.R2b.SM.5J1MX	GTEX-139TS-0011-R2b-SM-5J1MX	60-69	2	-0.042010243348014	-0.0292800699910108
GTEX.13CF2.0011.R2a.SM.5L3DC	GTEX-13CF2-0011-R2a-SM-5L3DC	60-69	2	0.0346879216101979	0.0212954647725047
GTEX.13FXS.0011.R2b.SM.5K7XX	GTEX-13FXS-0011-R2b-SM-5K7XX	50-59	2	0.0151837425632247	-0.00705638045774185
GTEX.13G51.0011.R2b.SM.5LZXS	GTEX-13G51-0011-R2b-SM-5LZXS	60-69	2	-0.0233863968668301	-0.0208493487134325
GTEX.13N2G.0011.R2a.SM.5MR4Q	GTEX-13N2G-0011-R2a-SM-5MR4Q	60-69	2	-0.0462759630577211	-0.0411585244904604
GTEX.13NYB.0011.R2a.SM.5MR3C	GTEX-13NYB-0011-R2a-SM-5MR3C	40-49	2	-0.0417298513538453	-0.0776764781038476
GTEX.13O3O.0011.R2b.SM.5P9H1	GTEX-13O3O-0011-R2b-SM-5P9H1	60-69	1	-0.0618528479988638	-0.0540385400791775
GTEX.13O3Q.0011.R2b.SM.5KM3K	GTEX-13O3Q-0011-R2b-SM-5KM3K	50-59	2	0.0126072366035303	-0.00977067114213314
GTEX.13OVJ.0011.R2b.SM.5L3GP	GTEX-13OVJ-0011-R2b-SM-5L3GP	50-59	1	-0.0469506859081878	-0.0137555693149647
GTEX.13OW6.0011.R2a.SM.5L3HG	GTEX-13OW6-0011-R2a-SM-5L3HG	50-59	2	0.0290438412157568	0.00278644001170514
GTEX.13OW8.0011.R2a.SM.5L3G2	GTEX-13OW8-0011-R2a-SM-5L3G2	60-69	2	0.0851278344163187	0.0506776675567853
GTEX.13PDP.0011.R2b.SM.5O9DH	GTEX-13PDP-0011-R2b-SM-5O9DH	60-69	2	-0.0676758899605581	-0.0297297479657802
GTEX.13QJC.0011.R2b.SM.5PNUN	GTEX-13QJC-0011-R2b-SM-5PNUN	60-69	1	-0.0440533830653779	-0.0356309276395423
GTEX.13RTJ.0011.R2a.SM.5PNW9	GTEX-13RTJ-0011-R2a-SM-5PNW9	60-69	2	-0.0725760022071676	-0.0625183399487975
GTEX.13SLW.0011.R2b.SM.5O9C6	GTEX-13SLW-0011-R2b-SM-5O9C6	70-79	2	-0.063259109827112	-0.0862053617524821
GTEX.13SLX.0011.R2b.SM.5S2VP	GTEX-13SLX-0011-R2b-SM-5S2VP	50-59	1	0.0513071115677831	0.0920873738119991
GTEX.13X6I.0011.R2b.SM.5PNWQ	GTEX-13X6I-0011-R2b-SM-5PNWQ	60-69	2	-0.154447719565259	-0.129439067405476
GTEX.13X6K.0011.R2b.SM.5P9K3	GTEX-13X6K-0011-R2b-SM-5P9K3	60-69	1	-0.0236149974795268	-0.0516382695704475
GTEX.1445S.0011.R2b.SM.5PNUH	GTEX-1445S-0011-R2b-SM-5PNUH	60-69	2	-0.0218574109581843	-3.78067779129054e-05
GTEX.147GR.0011.R2b.SM.5S2RQ	GTEX-147GR-0011-R2b-SM-5S2RQ	60-69	2	0.0132504841687539	0.0158952061702464
GTEX.14ASI.0011.R2b.SM.5YY9H	GTEX-14ASI-0011-R2b-SM-5YY9H	60-69	2	-0.0189230704556514	-0.0378096998315476
GTEX.14BIM.0011.R2b.SM.69LQ6	GTEX-14BIM-0011-R2b-SM-69LQ6	60-69	1	-0.112258019223287	-0.0904992102007803
GTEX.14BIN.0011.R2a.SM.5S2RJ	GTEX-14BIN-0011-R2a-SM-5S2RJ	50-59	1	0.011442752864751	-0.0362331658530679
GTEX.14C5O.0011.R2a.SM.5ZZV2	GTEX-14C5O-0011-R2a-SM-5ZZV2	60-69	2	0.158736234265561	0.172598369504628
GTEX.14JG1.0011.R2a.SM.5ZZVE	GTEX-14JG1-0011-R2a-SM-5ZZVE	40-49	2	0.0463302911021798	0.0356397493545668
