SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX.139D8.1226.SM.5L3ED	GTEX-139D8-1226-SM-5L3ED	30-39	1	-0.188502906857247	-0.227679394533388
GTEX.139TS.0226.SM.5K7W5	GTEX-139TS-0226-SM-5K7W5	60-69	2	-0.0459146366322698	-0.0562185480228205
GTEX.139TU.1126.SM.5J1NY	GTEX-139TU-1126-SM-5J1NY	60-69	2	0.114567562896464	-0.101487180998151
GTEX.139UW.0426.SM.5K7V4	GTEX-139UW-0426-SM-5K7V4	60-69	2	-0.0144701931387695	-0.0486805564017965
GTEX.139YR.0626.SM.5IJBT	GTEX-139YR-0626-SM-5IJBT	50-59	2	-0.10784756117781	0.0168041161445001
GTEX.13CF3.0526.SM.5IJBV	GTEX-13CF3-0526-SM-5IJBV	60-69	1	0.0992148874766009	0.123041095921207
GTEX.13D11.1426.SM.5K7Y9	GTEX-13D11-1426-SM-5K7Y9	50-59	1	-0.11418094349195	-0.057790727287832
GTEX.13FH7.0326.SM.5J1MR	GTEX-13FH7-0326-SM-5J1MR	50-59	1	0.0626250860498497	0.134884519958752
GTEX.13FHO.1626.SM.5IJGB	GTEX-13FHO-1626-SM-5IJGB	60-69	2	-0.139322248768964	-0.191147422358988
GTEX.13FLV.1426.SM.5J1N4	GTEX-13FLV-1426-SM-5J1N4	50-59	2	-0.116539899093739	-0.14584915387475
GTEX.13FTW.0726.SM.9WG72	GTEX-13FTW-0726-SM-9WG72	40-49	2	-0.105945909943229	0.0173737299525677
GTEX.13FTX.0226.SM.5K7TX	GTEX-13FTX-0226-SM-5K7TX	20-29	1	-0.222348966881985	-0.0912162125274896
GTEX.13FTZ.0126.SM.5K7V3	GTEX-13FTZ-0126-SM-5K7V3	60-69	2	-0.012820185275462	-0.150691457723951
GTEX.13N2G.0526.SM.5MR5L	GTEX-13N2G-0526-SM-5MR5L	60-69	2	0.180743989845149	0.206713987092848
GTEX.13NYB.0426.SM.5IJDD	GTEX-13NYB-0426-SM-5IJDD	40-49	2	-0.217465853621654	-0.25550110974856
GTEX.13NZ9.1226.SM.5MR3J	GTEX-13NZ9-1226-SM-5MR3J	50-59	2	0.0568915369118628	-0.036273469211768
GTEX.13O21.0426.SM.5K7VR	GTEX-13O21-0426-SM-5K7VR	50-59	2	-0.0914602092916169	-0.062138404115976
GTEX.13O3O.1126.SM.5KM4Q	GTEX-13O3O-1126-SM-5KM4Q	60-69	1	-0.0471250496301408	-0.170238280852397
GTEX.13O3P.1126.SM.5L3FG	GTEX-13O3P-1126-SM-5L3FG	50-59	2	-0.165665498339768	-0.170426236983514
GTEX.13O61.0326.SM.5KM2O	GTEX-13O61-0326-SM-5KM2O	60-69	2	-0.110424544161332	-0.0664707459250291
GTEX.13OVG.0826.SM.5L3D8	GTEX-13OVG-0826-SM-5L3D8	60-69	2	0.264876085914875	0.368612820899595
GTEX.13OVI.0626.SM.5IJCN	GTEX-13OVI-0626-SM-5IJCN	60-69	1	0.522484854603542	0.486390910813694
GTEX.13OW5.0826.SM.5J1NE	GTEX-13OW5-0826-SM-5J1NE	60-69	2	0.104651239787427	-0.0596280087643173
GTEX.13OW6.1526.SM.5L3HX	GTEX-13OW6-1526-SM-5L3HX	50-59	2	-0.250730179807978	-0.11593112432024
GTEX.13OW8.1826.SM.5L3H1	GTEX-13OW8-1826-SM-5L3H1	60-69	2	-0.211260495826625	-0.224326680189841
GTEX.13PVQ.1426.SM.5J1O4	GTEX-13PVQ-1426-SM-5J1O4	50-59	2	0.139510975321138	-0.0343215435740567
GTEX.13PVR.0826.SM.5S2PV	GTEX-13PVR-0826-SM-5S2PV	60-69	1	-0.043855273962071	-0.0146265839843433
GTEX.13QBU.0326.SM.5LU3F	GTEX-13QBU-0326-SM-5LU3F	40-49	1	0.126089363732602	0.101176652607601
GTEX.13RTK.0126.SM.5RQHQ	GTEX-13RTK-0126-SM-5RQHQ	20-29	2	0.639880559695055	0.569745004414894
GTEX.13U4I.1026.SM.5LU3G	GTEX-13U4I-1026-SM-5LU3G	40-49	1	-0.00307836351194548	-0.0255493514587697
GTEX.13VXT.0826.SM.5SIAP	GTEX-13VXT-0826-SM-5SIAP	20-29	1	0.446467281456803	0.379149563499567
GTEX.13W3W.0226.SM.731ET	GTEX-13W3W-0226-SM-731ET	60-69	1	-0.0292876647766637	-0.0207379903288989
GTEX.13W46.1826.SM.5K7VA	GTEX-13W46-1826-SM-5K7VA	50-59	2	-0.192655728123994	-0.32535264349934
GTEX.13X6H.0126.SM.5QGOS	GTEX-13X6H-0126-SM-5QGOS	50-59	1	0.302522635394401	0.196756472808622
